Country Name,Country Code,"Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]",CO2 emissions (kt) [EN.ATM.CO2E.KT],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],Forest area (sq. km) [AG.LND.FRST.K2],Voice and Accountability: Percentile Rank [VA.PER.RNK]
Portugal,PRT,3,49851.9,19250.1065376852,33120,84.7290649414063
Puerto Rico,PRI,NaN,NaN,29763.4883013861,4938.8,59.1133003234863
Qatar,QAT,6.6,85211.3,66984.9102002396,0,16.7487678527832
Romania,ROU,7.7,73314.4,8976.9544892648,69009.6,63.5467987060547
Russian Federation,RUS,6.6,1592559.4,9313.021484375,8149304.6,20.1970443725586
Rwanda,RWA,34.7,1080.44,733.887472832132,2700,17.2413787841797
Samoa,WSM,15.9,232.3,4048.46711296568,1640.7,71.4285736083984
San Marino,SMR,2,NaN,42281.8112549264,10,87.6847305297852
Sao Tome and Principe,STP,18.6,123.6,1292.73305546523,550,57.1428565979004
Saudi Arabia,SAU,7.8,565190.1,20442.3660631613,9770,3.44827580451965
Senegal,SEN,35.5,9285.5,1238.12639978389,82681.6,57.6354675292969
Serbia,SRB,5.5,45410.1,5588.9794435877,27195.3,55.1724128723145
Seychelles,SYC,12.5,499.8,14894.4857827096,337,49.7536964416504
Sierra Leone,SLE,95.5,1084.5,581.293411814954,26335.3,37.4384231567383
Singapore,SGP,2.2,45431.9,55645.6068614606,164.714,41.3793106079102
Sint Maarten (Dutch part),SXM,NaN,NaN,36519.9925867513,3.7,NaN
Slovak Republic,SVK,5.1,30753.7,16390.8821748507,19217.5,76.3546829223633
Slovenia,SVN,2.1,13139.7,20890.1664304173,12480,78.3251266479492
Solomon Islands,SLB,19.4,304.1,2134.80541826155,25266.2,58.1280784606934
Somalia,SOM,83.7,646.2,507.482915466996,63637.5,1.47783255577087
South Africa,ZAF,29.4,425063.1,6204.92990145846,172320.9,69.9507369995117
South Sudan,SSD,63.8,1969.4,1071.77776475545,71570,5.41871929168701
Spain,ESP,2.8,257251.2,25754.36102944,185511.8,82.7586212158203
Sri Lanka,LKA,7.5,19240.9,3990.35311739446,21288.2,36.4532012939453
St. Kitts and Nevis,KNA,14.2,237.6,20025.652352499,110,73.8916244506836
St. Lucia,LCA,19.6,501.2,10290.3715682224,207.7,80.2955627441406
St. Martin (French part),MAF,NaN,NaN,NaN,12.4,NaN
St. Vincent and the Grenadines,VCT,15.3,246.5,7386.74663845115,285.4,76.8472900390625
Sudan,SDN,45.3,19259.2,2226.40942382813,192099.3,3.94088673591614
Suriname,SUR,18.3,2724.1,8907.83725830091,152516.7,59.6059112548828
Sweden,SWE,2.4,39120.1,51545.4836095322,279800,99.5073928833008
Switzerland,CHE,3.7,39090.8,83806.4476003837,12519.1,98.5221710205078
Syrian Arab Republic,SYR,25.8,25260.7,857.497867137736,5220.8,2.95566511154175
Tajikistan,TJK,32.6,4904.8,970.362599665447,4218,5.9113302230835
Tanzania,TZA,41,10765.9,929.7998046875,480900,38.9162559509277
Thailand,THA,9.3,268853.3,5708.79409105798,200610,22.1674880981445
Timor-Leste,TLS,51.5,437.2,1322.9290943123,9281,54.1871910095215
Togo,TGO,50.9,1825.6,770.143379256632,12240.7,27.5862064361572
Tonga,TON,10.6,109.9,4117.93104694205,89.5,70.9359588623047
Trinidad and Tobago,TTO,17.5,21310.6,18508.770502876,2302.9,63.0541877746582
Tunisia,TUN,14.8,31627.4,3960.92484913663,6950.8,55.6650238037109
Turkiye,TUR,11.1,353413.8,11049.9951100942,216303,35.4679794311523
Turkmenistan,TKM,36.6,63777.6,6208.2966545016,41270,0
Turks and Caicos Islands,TCA,4.4,NaN,25783.2941047676,105.2,NaN
Tuvalu,TUV,22,7.7,3384.38320147639,10,83.2512283325195
Uganda,UGA,39.3,4712.1,864.180059289672,25441.6,29.0640392303467
Ukraine,UKR,8.1,191067.8,2124.66259765625,96570,43.8423652648926
United Arab Emirates,ARE,6.5,195409.4,41525.1389031283,3173,19.2118225097656
United Kingdom,GBR,3.9,401075.3,44964.3911437292,31550,92.1182250976563
United States,USA,5.8,4990703.7,56762.7294515989,3100950,84.2364501953125
Uruguay,URY,7.7,6657.2,16950.7531694816,19200,85.7142868041992
Uzbekistan,UZB,17.1,99358.2,2753.97105782901,35494,2.46305418014526
Vanuatu,VUT,22.9,134.3,2643.8868859095,4423,67.9802932739258
"Venezuela, RB",VEN,16.5,163126.9,NaN,466830,19.7044334411621
Viet Nam,VNM,17.5,201513.3,2595.23484372958,140618.6,10.3448276519775
Virgin Islands (U.S.),VIR,NaN,NaN,34007.3529411765,191.6,NaN
West Bank and Gaza,PSE,15.8,NaN,3272.15432360708,101.4,21.674877166748
"Yemen, Rep.",YEM,46.2,13552.2,1488.41626714602,5490,7.38916254043579
Zambia,ZMB,47.2,4956.6,1307.90964916032,457551,45.8128089904785
Zimbabwe,ZWE,42.1,11988.7,1410.32917348908,176749.3,15.7635469436646
